Event,Object Number,Raw Centroid X,Area_MC,Time,Raw Max Pixel_SSC - 773/56 - A1,SSC - 773/56 - A1,UCI_SSC - 773/56 - A1,Area_SSC - 773/56 - A1,Aspect Ratio_SSC - 773/56 - A1,Raw Max Pixel_488 - 773/56 - C1,488 - 773/56 - C1,UCI_488 - 773/56 - C1,Area_488 - 773/56 - C1,Aspect Ratio_488 - 773/56 - C1,Raw Max Pixel_488 - 528/46 - C3,488 - 528/46 - C3,UCI_488 - 528/46 - C3,Area_488 - 528/46 - C3,Aspect Ratio_488 - 528/46 - C3,Raw Max Pixel_488 - 583/24 - C4,488 - 583/24 - C4,UCI_488 - 583/24 - C4,Area_488 - 583/24 - C4,Aspect Ratio_488 - 583/24 - C4,Raw Max Pixel_488 - 611/31 - C5,488 - 611/31 - C5,UCI_488 - 611/31 - C5,Area_488 - 611/31 - C5,Aspect Ratio_488 - 611/31 - C5,Raw Max Pixel_488 - 702/87 - C6,488 - 702/87 - C6,UCI_488 - 702/87 - C6,Area_488 - 702/87 - C6,Aspect Ratio_488 - 702/87 - C6,Raw Max Pixel_FSC - 456/51 - D2,FSC - 456/51 - D2,UCI_FSC - 456/51 - D2,Area_FSC - 456/51 - D2,Aspect Ratio_FSC - 456/51 - D2
35,34,13.833333,77.76,0.213,632,1144.5206,1144.5206,77.76,0.72753364,133,48.94138,48.94138,0,1,114,18.868965,18.868965,0,1,135,8.451724,8.451724,0,1,127,13.75862,13.75862,0,1,139,20.834482,20.834482,0,1,3077,4640.5776,4640.5776,51.84,0.27977887
36,35,13.083333,777.6,0.214,39791,170365.02,170365.02,712.8,0.64466316,134,388.7793,388.7793,0,1,130,305.83447,305.83447,0,1,141,351.43448,351.43448,0,1,136,377.3793,377.3793,0,1,151,312.12415,312.12415,0,1,35701,181518.92,181518.92,635.04,0.8975937
37,36,8.863636,285.12,0.214,26732,67265.48,67265.48,246.24,0.783108,132,75.868965,75.868965,0,1,118,146.43103,146.43103,0,1,136,125.4,125.4,0,1,131,114.78621,114.78621,0,1,142,111.83793,111.83793,0,1,13996,33346.652,33346.652,168.48,0.44853488
38,37,18.166666,77.76,0.219,680,1184.2241,1184.2241,38.88,0.44179562,126,44.42069,44.42069,0,1,116,18.672413,18.672413,0,1,130,-1.3758621,-1.3758621,0,1,127,23.389656,23.389656,0,1,136,4.5206895,4.5206895,0,1,3700,4891.611,4891.611,77.76,0.5247394
39,38,15,362.88,0.219,39508,108556.67,108556.67,349.92,0.92647034,130,156.84828,156.84828,0,1,119,107.71034,107.71034,0,1,142,166.87242,166.87242,0,1,134,203.03793,203.03793,0,1,145,103.97586,103.97586,0,1,34829,62582.414,62582.414,246.24,0.4224002
40,39,5.046154,842.4,0.241,58072,248482.88,248482.88,686.88,0.43790665,134,448.13794,448.13794,0,1,132,452.2655,452.2655,0,1,143,376.5931,376.5931,0,1,142,255.3207,255.3207,0,1,143,241.75862,241.75862,0,1,47281,396316.88,396316.88,777.6,0.8679648
41,40,20.23077,168.48,0.249,4680,10525.541,10525.541,155.52,0.7659195,124,14.348276,14.348276,0,1,113,50.31724,50.31724,0,1,139,58.17931,58.17931,0,1,132,87.66207,87.66207,0,1,143,81.37241,81.37241,0,1,4038,9082.065,9082.065,103.68,0.7564216
42,41,33.5,51.84,0.249,201,145.81548,145.81548,12.96,1,123,13.131232,13.131232,0,1,109,19.794842,19.794842,0,1,135,30.378223,30.378223,0,1,139,34.102005,34.102005,0,1,140,17.246992,17.246992,0,1,918,1538.118,1538.118,51.84,0.47279105
43,42,32.692307,336.96,0.264,16877,65924.625,65924.625,336.96,0.7267655,130,119.7,119.7,0,1,121,95.32758,95.32758,0,1,139,152.13103,152.13103,0,1,139,92.37931,92.37931,0,1,145,104.368965,104.368965,0,1,13604,32792.887,32792.887,155.52,0.36000213
44,43,8.448276,375.84,0.264,43990,103241.76,103241.76,349.92,0.7043143,128,183.57932,183.57932,0,1,124,151.73793,151.73793,0,1,141,155.07932,155.07932,0,1,132,126.18621,126.18621,0,1,148,128.15172,128.15172,0,1,20757,61689.8,61689.8,259.2,0.738492
