Event,Object Number,Raw Centroid X,Area_MC,Time,Raw Max Pixel_SSC - 773/56 - A1,SSC - 773/56 - A1,UCI_SSC - 773/56 - A1,Area_SSC - 773/56 - A1,Aspect Ratio_SSC - 773/56 - A1,Raw Max Pixel_488 - 773/56 - C1,488 - 773/56 - C1,UCI_488 - 773/56 - C1,Area_488 - 773/56 - C1,Aspect Ratio_488 - 773/56 - C1,Raw Max Pixel_488 - 528/46 - C3,488 - 528/46 - C3,UCI_488 - 528/46 - C3,Area_488 - 528/46 - C3,Aspect Ratio_488 - 528/46 - C3,Raw Max Pixel_488 - 583/24 - C4,488 - 583/24 - C4,UCI_488 - 583/24 - C4,Area_488 - 583/24 - C4,Aspect Ratio_488 - 583/24 - C4,Raw Max Pixel_488 - 611/31 - C5,488 - 611/31 - C5,UCI_488 - 611/31 - C5,Area_488 - 611/31 - C5,Aspect Ratio_488 - 611/31 - C5,Raw Max Pixel_488 - 702/87 - C6,488 - 702/87 - C6,UCI_488 - 702/87 - C6,Area_488 - 702/87 - C6,Aspect Ratio_488 - 702/87 - C6,Raw Max Pixel_FSC - 456/51 - D2,FSC - 456/51 - D2,UCI_FSC - 456/51 - D2,Area_FSC - 456/51 - D2,Aspect Ratio_FSC - 456/51 - D2
50,49,17.329897,1257.12,9.853,1735,22241.164,22241.164,725.76,0.7953055,131,416.489,416.489,0,1,114,295.92642,295.92642,0,1,136,454.24094,454.24094,0,1,134,383.20236,383.20236,0,1,147,363.7175,363.7175,0,1,7622,151589.69,151589.69,881.28,0.7712765
51,50,24.318182,570.24,10.044,1179,5880.573,5880.573,194.4,0.82433456,2111,15544.052,15544.052,375.84,0.917477,207,1061.5193,1061.5193,64.8,0.6144022,313,1276.2588,1276.2588,51.84,0.8496549,263,960.2386,960.2386,77.76,0.77159816,25183,104005.95,104005.95,453.6,0.79997027,19397,50702.465,50702.465,272.16,0.70913893
52,51,28.270834,622.08,10.074,4506,16860.518,16860.518,207.36,0.5302457,4948,27171.21,27171.21,324,0.86890596,306,1558.2853,1558.2853,90.72,0.7866664,528,2281.425,2281.425,103.68,0.85329217,407,1659.9214,1659.9214,77.76,0.74083215,38594,175957.23,175957.23,466.56,0.7946578,17730,62053.094,62053.094,311.04,0.7002713
53,52,27.854166,1244.16,10.164,3350,46381.51,46381.51,686.88,0.29260704,135,383.325,383.325,0,1,117,413.25,413.25,0,1,134,375.79285,375.79285,0,1,144,278.48572,278.48572,0,1,149,486.33215,486.33215,0,1,12402,199972.64,199972.64,972,0.36450645
54,53,25.105263,246.24,10.243,562,1573.1296,1573.1296,103.68,0.53166986,133,145.93353,145.93353,0,1,111,69.41483,69.41483,0,1,134,111.22611,111.22611,0,1,143,89.30564,89.30564,0,1,145,99.656975,99.656975,0,1,5566,11645.915,11645.915,142.56,0.6077698
55,54,21.428572,544.32,10.369,1607,5351.282,5351.282,90.72,0.8005193,6649,20440.404,20440.404,207.36,0.70952564,322,1203.7179,1203.7179,51.84,0.43508154,457,1630.2,1630.2,64.8,0.9502326,363,1233.6428,1233.6428,77.76,0.9078742,26702,128303.54,128303.54,336.96,0.92835927,26671,52820.92,52820.92,285.12,0.7329092
56,55,16.6875,414.72,10.413,548,2850,2850,155.52,0.3179968,135,176.7,176.7,0,1,116,221.07857,221.07857,0,1,140,219.65356,219.65356,0,1,131,149.625,149.625,0,1,145,143.925,143.925,0,1,3776,20333.201,20333.201,259.2,0.6054224
57,56,10.857142,362.88,10.426,699,2394.203,2394.203,142.56,0.37554637,130,164.40356,164.40356,0,1,115,208.04155,208.04155,0,1,132,141.46825,141.46825,0,1,136,159.93828,159.93828,0,1,142,167.04213,167.04213,0,1,2359,14602.893,14602.893,233.28,0.4699177
58,57,15.325582,557.28,10.447,561,2827.5383,2827.5383,142.56,0.54159456,1971,10899.145,10899.145,285.12,0.9456985,183,804.76556,804.76556,25.92,0,262,997.17865,997.17865,51.84,0.94768876,231,796.24097,796.24097,38.88,0.6821694,18881,76066.89,76066.89,375.84,0.88369685,18851,48581.953,48581.953,324,0.80850327
59,58,7.7027025,959.04,10.732,2296,13304.004,13304.004,388.8,0.5541823,132,527.75684,527.75684,0,1,116,438.9,438.9,0,1,139,452.13214,452.13214,0,1,133,379.8643,379.8643,0,1,150,452.33572,452.33572,0,1,6096,83215.1,83215.1,635.04,0.81706995
60,59,17.90909,285.12,10.816,424,1108.4464,1108.4464,77.76,0.45265406,129,116.23929,116.23929,0,1,109,83.26071,83.26071,0,1,133,103.61786,103.61786,0,1,130,101.37857,101.37857,0,1,148,83.667854,83.667854,0,1,6113,24825.768,24825.768,207.36,0.4778756
61,60,20.25,673.92,10.937,865,6868.907,6868.907,324,0.7450369,129,247.33928,247.33928,0,1,115,285.61072,285.61072,0,1,136,241.84285,241.84285,0,1,140,292.53214,292.53214,0,1,146,305.35715,305.35715,0,1,10878,70535.664,70535.664,440.64,0.8877629
62,61,28.878048,531.36,11.071,2438,8463.739,8463.739,181.44,0.81243014,4844,18160.91,18160.91,246.24,0.916347,258,1103.1276,1103.1276,77.76,0.6792824,527,1528.1412,1528.1412,90.72,0.7847159,359,1136.6172,1136.6172,64.8,0.8955576,33087,122682.2,122682.2,336.96,0.8635178,18772,48221.402,48221.402,285.12,0.8435775
63,62,15.6,518.4,11.417,2752,9146.058,9146.058,168.48,0.9377618,3808,20436.74,20436.74,336.96,0.8449878,297,1192.5215,1192.5215,77.76,0.66796875,428,1628.775,1628.775,77.76,0.8309366,331,1326.0643,1326.0643,64.8,0.8205052,42508,132299.44,132299.44,414.72,0.7854144,13852,48269.434,48269.434,272.16,0.9456519
64,63,20.6,388.8,12.096,899,3400.718,3400.718,155.52,0.8006895,129,111.02315,111.02315,0,1,111,129.2902,129.2902,0,1,134,170.28961,170.28961,0,1,143,80.98398,80.98398,0,1,146,182.8736,182.8736,0,1,10734,34397.34,34397.34,246.24,0.5608137
65,64,10.490196,660.96,12.409,501,3838.95,3838.95,259.2,0.6559089,131,187.48929,187.48929,0,1,115,247.74643,247.74643,0,1,134,260.36786,260.36786,0,1,134,212.12143,212.12143,0,1,147,242.65715,242.65715,0,1,6840,49406.645,49406.645,427.68,0.505502
66,65,14.677596,2371.68,12.424,4011,70699.13,70699.13,1412.64,0.4358777,134,867.2143,867.2143,0,1,117,1020.3,1020.3,0,1,139,1085.2393,1085.2393,0,1,137,895.3071,895.3071,0,1,150,995.26074,995.26074,0,1,16376,433619.34,433619.34,1736.64,0.44967127
67,66,25.058823,440.64,12.472,846,3029.3464,3029.3464,116.64,0.92846173,3159,12766.982,12766.982,207.36,0.97808635,228,748.32855,748.32855,64.8,0.5693965,432,1081.575,1081.575,51.84,0.70435464,291,830.9786,830.9786,51.84,0.9552791,19736,84555.23,84555.23,298.08,0.91617066,23087,46572.664,46572.664,246.24,0.44005778
68,67,13.25,466.56,12.522,335,1795.6522,1795.6522,129.6,0.455519,131,170.89851,170.89851,0,1,112,207.0267,207.0267,0,1,132,165.62137,165.62137,0,1,135,176.78458,176.78458,0,1,145,153.64629,153.64629,0,1,3508,30033.486,30033.486,375.84,0.511691
69,68,16.166666,1010.88,12.6,1751,23375.143,23375.143,583.2,0.75575095,134,308.71335,308.71335,0,1,116,444.70148,444.70148,0,1,139,403.09317,403.09317,0,1,130,321.90622,321.90622,0,1,151,386.2469,386.2469,0,1,11377,139959.19,139959.19,622.08,0.7622634
70,69,12.233334,777.6,13.033,1331,7225.9775,7225.9775,298.08,0.9623415,131,339.15845,339.15845,0,1,115,254.927,254.927,0,1,135,281.7187,281.7187,0,1,132,336.31693,336.31693,0,1,151,302.8273,302.8273,0,1,5586,63249.383,63249.383,583.2,0.70713097
71,70,24,505.44,13.651,513,2597.9858,2597.9858,142.56,0.7430621,1685,12964.431,12964.431,388.8,0.9414159,198,822.21655,822.21655,25.92,0,282,1138.9207,1138.9207,77.76,0.82739687,245,798.5397,798.5397,38.88,0.74953383,28420,86402.35,86402.35,466.56,0.65214723,8317,29718.293,29718.293,272.16,0.8008391
72,71,30.125,207.36,13.722,248,574.19464,574.19464,51.84,0.38211316,134,101.88962,101.88962,0,1,118,73.47418,73.47418,0,1,132,84.43442,84.43442,0,1,144,66.77626,66.77626,0,1,148,59.063503,59.063503,0,1,3869,10882.05,10882.05,168.48,0.57226264
73,72,19.30303,427.68,13.786,2043,5529.472,5529.472,103.68,0.7228048,5261,15464.066,15464.066,168.48,0.9196751,262,883.12897,883.12897,64.8,0.4766007,367,1218.2485,1218.2485,51.84,0.9357671,333,896.88995,896.88995,51.84,0.72744197,27122,98873.01,98873.01,311.04,0.85628295,17668,42201.39,42201.39,220.32,0.69601905
74,73,17.024391,531.36,13.837,1216,6071.613,6071.613,194.4,0.6754349,2787,17018.852,17018.852,362.88,0.91624916,217,997.0615,997.0615,64.8,0.62364906,386,1413.3302,1413.3302,90.72,0.81781924,287,1078.8177,1078.8177,64.8,0.7991759,28044,114248.234,114248.234,466.56,0.88349885,10462,40487.473,40487.473,298.08,0.8213432
75,74,7.3636365,427.68,14.255,336,1540.9282,1540.9282,129.6,0.41711715,132,150.39882,150.39882,0,1,116,138.62671,138.62671,0,1,132,147.96321,147.96321,0,1,130,132.53769,132.53769,0,1,148,122.79525,122.79525,0,1,6986,35318.984,35318.984,336.96,0.4455587
76,75,32.588234,220.32,14.27,221,535.4999,535.4999,51.84,0.45532462,128,67.38817,67.38817,0,1,110,62.12663,62.12663,0,1,135,96.73136,96.73136,0,1,144,56.257988,56.257988,0,1,154,79.12544,79.12544,0,1,1341,4614.572,4614.572,168.48,0.8297921
77,76,30.864864,479.52,14.67,2278,6470.1934,6470.1934,142.56,0.75173086,5474,24344.154,24344.154,324,0.94862413,309,1324.4034,1324.4034,77.76,0.622134,532,1816.5579,1816.5579,103.68,0.76922095,433,1374.9672,1374.9672,77.76,0.90978444,49340,150591.4,150591.4,401.76,0.84739155,12647,45439.582,45439.582,233.28,0.84922564
