Event,Object Number,Raw Centroid X,Area_MC,Time,Raw Max Pixel_SSC - 773/56 - A1,SSC - 773/56 - A1,UCI_SSC - 773/56 - A1,Area_SSC - 773/56 - A1,Aspect Ratio_SSC - 773/56 - A1,Raw Max Pixel_488 - 773/56 - C1,488 - 773/56 - C1,UCI_488 - 773/56 - C1,Area_488 - 773/56 - C1,Aspect Ratio_488 - 773/56 - C1,Raw Max Pixel_488 - 528/46 - C3,488 - 528/46 - C3,UCI_488 - 528/46 - C3,Area_488 - 528/46 - C3,Aspect Ratio_488 - 528/46 - C3,Raw Max Pixel_488 - 583/24 - C4,488 - 583/24 - C4,UCI_488 - 583/24 - C4,Area_488 - 583/24 - C4,Aspect Ratio_488 - 583/24 - C4,Raw Max Pixel_488 - 611/31 - C5,488 - 611/31 - C5,UCI_488 - 611/31 - C5,Area_488 - 611/31 - C5,Aspect Ratio_488 - 611/31 - C5,Raw Max Pixel_488 - 702/87 - C6,488 - 702/87 - C6,UCI_488 - 702/87 - C6,Area_488 - 702/87 - C6,Aspect Ratio_488 - 702/87 - C6,Raw Max Pixel_FSC - 456/51 - D2,FSC - 456/51 - D2,UCI_FSC - 456/51 - D2,Area_FSC - 456/51 - D2,Aspect Ratio_FSC - 456/51 - D2
56,55,31.790697,1114.56,0.86,1583,5687.913,5687.913,103.68,0.7820353,21580,109341.11,109341.11,466.56,0.8753781,1374,7433.761,7433.761,155.52,0.54754347,2960,9029.418,9029.418,129.6,0.7825121,1869,6589.4746,6589.4746,129.6,0.89893454,65535,533436.1,533436.1,1114.56,0.8663289,20228,44803.938,44803.938,272.16,0.5292675
57,56,31,38.88,0.895,119,18.336145,18.336145,0,1,126,27.401205,27.401205,0,1,116,25.959036,25.959036,0,1,127,-1.6481928,-1.6481928,0,1,131,-1.4421687,-1.4421687,0,1,143,26.783133,26.783133,0,1,1778,1915.406,1915.406,38.88,0
58,57,10.5,51.84,0.937,115,23.0747,23.0747,0,1,127,8.859036,8.859036,0,1,116,17.306025,17.306025,0,1,127,-2.472289,-2.472289,0,1,127,23.0747,23.0747,0,1,137,-2.8843374,-2.8843374,0,1,1277,1557.5421,1557.5421,51.84,0.55198723
59,58,16.04861,1866.24,0.951,2246,5846.1396,5846.1396,116.64,0.8545214,39163,135272.33,135272.33,505.44,0.72229284,2026,8700.246,8700.246,194.4,0.508466,3373,10644.853,10644.853,181.44,0.66896737,2000,8243.23,8243.23,168.48,0.8221277,65535,659304.5,659304.5,1853.28,0.43504423,14942,47447.94,47447.94,259.2,0.70394087
60,59,16.6,64.8,0.951,108,4.944578,4.944578,0,1,133,50.063854,50.063854,0,1,109,31.933735,31.933735,0,1,140,39.76265,39.76265,0,1,130,18.954216,18.954216,0,1,148,51.506023,51.506023,0,1,882,1394.3164,1394.3164,64.8,0.3945123
61,60,6,142.56,0.958,121,93.94699,93.94699,0,1,123,49.239758,49.239758,0,1,116,94.77109,94.77109,0,1,136,83.64578,83.64578,0,1,131,67.98795,67.98795,0,1,144,91.26868,91.26868,0,1,1781,5408.9565,5408.9565,142.56,0.30661744
62,61,4.8,129.6,1.014,115,40.464867,40.464867,0,1,124,34.508106,34.508106,0,1,117,61.21081,61.21081,0,1,134,17.048649,17.048649,0,1,127,51.76216,51.76216,0,1,144,42.92973,42.92973,0,1,2414,6672.8,6672.8,129.6,0.45267296
63,62,22.511627,557.28,1.014,121,173.15675,173.15675,0,1,130,168.02162,168.02162,0,1,115,226.56216,226.56216,0,1,140,199.44865,199.44865,0,1,146,225.12433,225.12433,0,1,150,228.61621,228.61621,0,1,682,7869.031,7869.031,557.28,0.48793676
64,63,29,1645.92,1.022,2221,10353.87,10353.87,194.4,0.71500075,21951,153870.22,153870.22,712.8,0.8725698,1581,9818.378,9818.378,233.28,0.6525457,2553,12004.508,12004.508,220.32,0.8157068,1573,8555.135,8555.135,233.28,0.8825057,65535,681965.9,681965.9,1645.92,0.5560508,18688,56551.785,56551.785,298.08,0.5910903
65,64,10.166667,77.76,1.028,118,43.75135,43.75135,0,1,124,14.172973,14.172973,0,1,112,41.286488,41.286488,0,1,140,52.172974,52.172974,0,1,131,56.48649,56.48649,0,1,147,51.76216,51.76216,0,1,1563,3207.8162,3207.8162,77.76,0.32500336
66,65,8.3,129.6,1.07,118,52.948193,52.948193,0,1,129,78.7012,78.7012,0,1,120,92.09277,92.09277,0,1,132,58.92289,58.92289,0,1,132,44.089157,44.089157,0,1,151,71.69639,71.69639,0,1,2589,7734.3506,7734.3506,129.6,0.78873426
67,66,33.833332,233.28,1.078,570,1380.7734,1380.7734,77.76,0.81452703,125,67.575905,67.575905,0,1,114,99.09759,99.09759,0,1,137,105.07229,105.07229,0,1,145,111.66506,111.66506,0,1,147,125.26265,125.26265,0,1,1715,6491.6133,6491.6133,155.52,0.6112733
68,67,25.5,51.84,1.155,107,-6.386747,-6.386747,0,1,121,12.361445,12.361445,0,1,119,33.375904,33.375904,0,1,131,10.0951805,10.0951805,0,1,135,10.301205,10.301205,0,1,140,14.215663,14.215663,0,1,1218,1883.6783,1883.6783,51.84,0.47065657
69,68,18.5,51.84,1.155,108,10.301205,10.301205,0,1,128,30.69759,30.69759,0,1,112,25.546988,25.546988,0,1,129,23.898796,23.898796,0,1,133,26.577108,26.577108,0,1,144,9.271085,9.271085,0,1,1477,2967.2708,2967.2708,51.84,0.5780792
70,69,29,64.8,1.155,115,21.838554,21.838554,0,1,132,45.943375,45.943375,0,1,115,29.461445,29.461445,0,1,133,31.72771,31.72771,0,1,135,15.039759,15.039759,0,1,137,18.130121,18.130121,0,1,1341,2454.3735,2454.3735,64.8,0.1502639
71,70,15.5,51.84,1.161,114,15.863855,15.863855,0,1,123,24.928915,24.928915,0,1,111,17.512049,17.512049,0,1,129,12.361445,12.361445,0,1,126,11.743374,11.743374,0,1,145,26.783133,26.783133,0,1,1291,3190.2117,3190.2117,51.84,0.94826037
72,71,32.023254,1114.56,1.175,1428,4754.724,4754.724,129.6,0.79683185,23342,98135.72,98135.72,518.4,0.93387324,1284,6607.276,6607.276,168.48,0.56518114,1827,7960.692,7960.692,168.48,0.87851983,1383,5914.4434,5914.4434,129.6,0.81359726,65535,437536.53,437536.53,1088.64,0.7969148,18016,48524.38,48524.38,285.12,0.43495554
