Event,Object Number,Raw Centroid X,Area_MC,Time,Raw Max Pixel_SSC - 773/56 - A1,SSC - 773/56 - A1,UCI_SSC - 773/56 - A1,Area_SSC - 773/56 - A1,Aspect Ratio_SSC - 773/56 - A1,Raw Max Pixel_488 - 773/56 - C1,488 - 773/56 - C1,UCI_488 - 773/56 - C1,Area_488 - 773/56 - C1,Aspect Ratio_488 - 773/56 - C1,Raw Max Pixel_488 - 528/46 - C3,488 - 528/46 - C3,UCI_488 - 528/46 - C3,Area_488 - 528/46 - C3,Aspect Ratio_488 - 528/46 - C3,Raw Max Pixel_488 - 583/24 - C4,488 - 583/24 - C4,UCI_488 - 583/24 - C4,Area_488 - 583/24 - C4,Aspect Ratio_488 - 583/24 - C4,Raw Max Pixel_488 - 611/31 - C5,488 - 611/31 - C5,UCI_488 - 611/31 - C5,Area_488 - 611/31 - C5,Aspect Ratio_488 - 611/31 - C5,Raw Max Pixel_488 - 702/87 - C6,488 - 702/87 - C6,UCI_488 - 702/87 - C6,Area_488 - 702/87 - C6,Aspect Ratio_488 - 702/87 - C6,Raw Max Pixel_FSC - 456/51 - D2,FSC - 456/51 - D2,UCI_FSC - 456/51 - D2,Area_FSC - 456/51 - D2,Aspect Ratio_FSC - 456/51 - D2
30,29,30.4,64.8,0.696,220,178.07587,178.07587,12.96,1,128,15.92069,15.92069,0,1,108,11.203448,11.203448,0,1,128,28.303448,28.303448,0,1,133,1.5724138,1.5724138,0,1,146,20.637932,20.637932,0,1,1861,3078.393,3078.393,64.8,0.7199568
31,30,7.6666665,77.76,0.718,258,323.52414,323.52414,38.88,0.9088535,126,15.92069,15.92069,0,1,114,45.206898,45.206898,0,1,125,1.9655173,1.9655173,0,1,125,19.065517,19.065517,0,1,146,48.94138,48.94138,0,1,1621,1978.7246,1978.7246,51.84,0.32180998
32,31,14.5,129.6,0.741,357,556.2414,556.2414,38.88,0,128,51.103447,51.103447,0,1,109,34.396553,34.396553,0,1,131,28.5,28.5,0,1,131,48.155174,48.155174,0,1,143,65.844826,65.844826,0,1,1358,5810.069,5810.069,129.6,0.588735
33,32,14.75,51.84,0.755,134,42.651726,42.651726,0,1,120,13.562069,13.562069,0,1,110,19.851725,19.851725,0,1,126,16.313793,16.313793,0,1,131,20.44138,20.44138,0,1,145,38.327587,38.327587,0,1,1090,1227.2689,1227.2689,51.84,0.34056833
34,33,17.5,77.76,0.761,136,86.28621,86.28621,0,1,128,17.296553,17.296553,0,1,107,7.6655173,7.6655173,0,1,129,30.465517,30.465517,0,1,126,15.92069,15.92069,0,1,145,18.672413,18.672413,0,1,895,1416.5322,1416.5322,77.76,0.62920094
35,34,22.5,77.76,0.769,249,286.17932,286.17932,25.92,0,126,41.472412,41.472412,0,1,106,20.048275,20.048275,0,1,124,1.9655173,1.9655173,0,1,140,37.541378,37.541378,0,1,147,7.2724137,7.2724137,0,1,1342,2326.1897,2326.1897,77.76,0.92844117
36,35,29.375,207.36,0.777,559,1891.0242,1891.0242,103.68,0.84573156,125,55.82069,55.82069,0,1,116,83.73103,83.73103,0,1,131,73.510345,73.510345,0,1,146,29.875862,29.875862,0,1,149,105.54828,105.54828,0,1,7962,18921.275,18921.275,194.4,0.53519636
37,36,33.909092,142.56,0.777,287,544.64484,544.64484,25.92,0,322,937.1586,937.1586,64.8,0.7975193,117,115.17931,115.17931,0,1,150,146.62758,146.62758,0,1,145,66.82758,66.82758,0,1,3221,7692.838,7692.838,142.56,0.47622353,1637,3274.1587,3274.1587,90.72,0.5114281
38,37,33.142857,181.44,0.777,519,1269.9207,1269.9207,77.76,0.7867212,136,80.586205,80.586205,0,1,113,75.67242,75.67242,0,1,138,113.01724,113.01724,0,1,148,96.11379,96.11379,0,1,148,51.103447,51.103447,0,1,3709,11425.552,11425.552,181.44,0.85738987
39,38,9.5,51.84,0.791,125,37.661716,37.661716,0,1,127,33.217243,33.217243,0,1,108,18.27931,18.27931,0,1,127,19.655172,19.655172,0,1,133,21.227587,21.227587,0,1,142,10.22069,10.22069,0,1,1178,2204.7207,2204.7207,51.84,0.87048995
40,39,12.75,51.84,0.813,118,42.848274,42.848274,0,1,124,14.151724,14.151724,0,1,106,14.151724,14.151724,0,1,130,16.903448,16.903448,0,1,120,-9.631035,-9.631035,0,1,142,29.67931,29.67931,0,1,1055,1229.8241,1229.8241,51.84,0.9839414
41,40,22.5,51.84,0.843,199,124.02414,124.02414,12.96,1,124,22.013794,22.013794,0,1,114,32.23448,32.23448,0,1,130,22.406897,22.406897,0,1,136,26.927586,26.927586,0,1,142,12.57931,12.57931,0,1,1130,1721.404,1721.404,51.84,0.34720513
42,41,14.741936,401.76,0.85,918,3728.3896,3728.3896,155.52,0.9342324,1777,10484.658,10484.658,298.08,0.9291683,186,653.33795,653.33795,25.92,0,278,965.4621,965.4621,77.76,0.87454367,231,754.16895,754.16895,51.84,0.9859918,25201,72934.445,72934.445,388.8,0.7883864,8757,32797.445,32797.445,220.32,0.9559198
43,42,15.793103,375.84,0.871,5001,15859.5625,15859.5625,168.48,0.72614104,7094,20545.748,20545.748,207.36,0.7944688,318,1113.8586,1113.8586,77.76,0.6333332,561,1591.4794,1591.4794,77.76,0.8798756,405,1199.3586,1199.3586,64.8,0.9115403,34391,133954.72,133954.72,349.92,0.9230457,16082,48601.35,48601.35,259.2,0.87477916
44,43,26.17647,1101.6,0.895,1542,24101.762,24101.762,686.88,0.91895896,134,535.0138,535.0138,0,1,118,414.33102,414.33102,0,1,138,358.31378,358.31378,0,1,145,385.6345,385.6345,0,1,151,424.55173,424.55173,0,1,10694,184874.69,184874.69,1088.64,0.91630656
45,44,12.090909,142.56,0.902,247,469.56207,469.56207,51.84,0.87792104,131,54.051723,54.051723,0,1,109,48.744827,48.744827,0,1,130,56.213795,56.213795,0,1,130,55.427586,55.427586,0,1,145,48.351723,48.351723,0,1,1419,4865.0483,4865.0483,142.56,0.8709011
46,45,14.6,64.8,0.922,116,22.930658,22.930658,0,1,125,18.8149,18.8149,0,1,105,15.483094,15.483094,0,1,132,29.398281,29.398281,0,1,128,26.066475,26.066475,0,1,151,33.51404,33.51404,0,1,1500,2183.2683,2183.2683,64.8,0.83395606
47,46,18.875,103.68,0.945,497,945.8069,945.8069,38.88,0.45863205,124,16.903448,16.903448,0,1,116,36.755173,36.755173,0,1,131,38.327587,38.327587,0,1,130,46.97586,46.97586,0,1,143,49.924137,49.924137,0,1,2846,4660.831,4660.831,90.72,0.8471201
48,47,28.5,51.84,0.975,141,63.68276,63.68276,0,1,125,0.19655173,0.19655173,0,1,109,8.648276,8.648276,0,1,135,7.6655173,7.6655173,0,1,143,22.603449,22.603449,0,1,141,9.434483,9.434483,0,1,839,1340.0215,1340.0215,51.84,0.6138721
49,48,18.4,64.8,1.003,121,45.40345,45.40345,0,1,131,40.293102,40.293102,0,1,111,14.544827,14.544827,0,1,131,24.568966,24.568966,0,1,133,35.18276,35.18276,0,1,136,-9.237931,-9.237931,0,1,836,1281.1241,1281.1241,64.8,0.36341423
50,49,29.166666,77.76,1.018,197,187.51035,187.51035,12.96,1,124,-6.87931,-6.87931,0,1,119,50.906895,50.906895,0,1,132,32.23448,32.23448,0,1,147,54.64138,54.64138,0,1,148,29.48276,29.48276,0,1,1203,1862.0267,1862.0267,64.8,0.24736257
51,50,4,64.8,1.026,127,54.248276,54.248276,0,1,122,12.57931,12.57931,0,1,108,18.868965,18.868965,0,1,123,-0.98275864,-0.98275864,0,1,126,9.827586,9.827586,0,1,138,17.493103,17.493103,0,1,1424,1646.7786,1646.7786,64.8,0.46963435
52,51,7.4,64.8,1.033,125,45.66533,45.66533,0,1,129,30.7702,30.7702,0,1,107,7.0555873,7.0555873,0,1,139,47.03725,47.03725,0,1,123,12.347278,12.347278,0,1,142,9.603438,9.603438,0,1,1019,1602.7982,1602.7982,64.8,0.739092
53,52,17.714285,90.72,1.047,328,384.7255,384.7255,25.92,0,130,15.679083,15.679083,0,1,116,53.70086,53.70086,0,1,131,42.92149,42.92149,0,1,133,31.750143,31.750143,0,1,147,35.081947,35.081947,0,1,2465,5422.2188,5422.2188,77.76,0.65797985
54,53,27,544.32,1.084,1623,8636.09,8636.09,259.2,0.49674144,3189,23457.86,23457.86,362.88,0.5653635,271,1408.8828,1408.8828,90.72,0.4509415,381,1944.6827,1944.6827,103.68,0.5026206,312,1524.8483,1524.8483,103.68,0.5508261,27825,164134.06,164134.06,492.48,0.49220926,23108,101801.2,101801.2,453.6,0.47248247
55,54,23.5,77.76,1.084,216,157.04483,157.04483,12.96,1,129,11.793103,11.793103,0,1,107,13.75862,13.75862,0,1,133,50.513794,50.513794,0,1,143,28.303448,28.303448,0,1,150,42.25862,42.25862,0,1,1071,2479.893,2479.893,77.76,0.75639695
56,55,29.125,103.68,1.092,150,138.3679,138.3679,0,1,124,34.102005,34.102005,0,1,111,33.122063,33.122063,0,1,130,37.43381,37.43381,0,1,144,11.563324,11.563324,0,1,146,25.870487,25.870487,0,1,2200,4565.357,4565.357,103.68,0.6619365
57,56,30.09091,285.12,1.129,503,1778.2035,1778.2035,103.68,0.3019134,134,76.85172,76.85172,0,1,119,141.12415,141.12415,0,1,132,91.39655,91.39655,0,1,144,69.38276,69.38276,0,1,147,111.83793,111.83793,0,1,5052,23419.531,23419.531,285.12,0.38316998
58,57,32,129.6,1.136,220,619.91174,619.91174,51.84,0.7816982,127,21.950716,21.950716,0,1,113,58.012608,58.012608,0,1,130,46.05731,46.05731,0,1,143,42.333523,42.333523,0,1,145,52.13295,52.13295,0,1,1776,5857.1177,5857.1177,129.6,0.49506965
59,58,2.7142856,90.72,1.194,169,106.33448,106.33448,0,1,128,35.37931,35.37931,0,1,126,32.03793,32.03793,0,1,127,-1.5724138,-1.5724138,0,1,127,30.66207,30.66207,0,1,140,32.627586,32.627586,0,1,2790,4746.415,4746.415,90.72,0.88693273
60,59,30.25,51.84,1.246,144,89.43104,89.43104,0,1,127,4.324138,4.324138,0,1,111,15.134482,15.134482,0,1,129,23.193104,23.193104,0,1,140,15.724138,15.724138,0,1,143,18.475863,18.475863,0,1,1293,1738.1069,1738.1069,51.84,0.26557994
